id,所学专业名称,毕业学校,前公司,行业名称,简历文本,岗位推荐Top3
1.0,其他学科,北京航空航天大学国际经济与贸易专业,宜昌人福药业有限责任公司,制造业,1.0 北京航空航天大学国际经济与贸易专业 其他学科 宜昌人福药业有限责任公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '数据科学家']"
2.0,其他学科,江汉大学文理学院,五峰土家族自治县渔洋关镇人民政府,公共管理、社会保障和社会组织,2.0 江汉大学文理学院 其他学科 五峰土家族自治县渔洋关镇人民政府 公共管理、社会保障和社会组织,"['教师', '高级人力产品经理', 'PLM高级产品经理']"
6.0,,宜昌广播电视大学,宜昌海诗特医疗用品有限公司,制造业,6.0 宜昌广播电视大学  宜昌海诗特医疗用品有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
28.0,学前教育,湖北师范大学文理学院,枝江市卫民生态园酒店,住宿和餐饮业,28.0 湖北师范大学文理学院 学前教育 枝江市卫民生态园酒店 住宿和餐饮业,"['客户经理', '高级人力产品经理', '销售经理']"
39.0,其他学科,武汉交通职业技术学院,湖北兴瑞硅材料有限公司,批发和零售业,39.0 武汉交通职业技术学院 其他学科 湖北兴瑞硅材料有限公司 批发和零售业,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
47.0,其他学科,武汉交通职业学院,宜昌市伍家岗区幸福童年幼儿园,教育,47.0 武汉交通职业学院 其他学科 宜昌市伍家岗区幸福童年幼儿园 教育,"['教师', '客服专员', '一线服务专员']"
59.0,其他学科,三峡职业技术学院,兴勤（宜昌）电子有限公司,制造业,59.0 三峡职业技术学院 其他学科 兴勤（宜昌）电子有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
60.0,临床医学,2022/武汉科技大学/临床医学,枝江市马家店初级中学,教育,60.0 2022/武汉科技大学/临床医学 临床医学 枝江市马家店初级中学 教育,"['教师', 'PLM高级产品经理', '营养师']"
66.0,其他学科,湖北三峡职业技术学院/2017,湖北鼎级玻璃科技有限公司,制造业,66.0 湖北三峡职业技术学院/2017 其他学科 湖北鼎级玻璃科技有限公司 制造业,"['PLM高级产品经理', '产品经理', '高级人力产品经理']"
71.0,学前教育,中华女子学院,东城小学,教育,71.0 中华女子学院 学前教育 东城小学 教育,"['教师', '客服专员', 'PLM高级产品经理']"
83.0,其他学科,湖北沙洋师范高等专科学校,宜昌晟阳酒类销售有限公司,其他,83.0 湖北沙洋师范高等专科学校 其他学科 宜昌晟阳酒类销售有限公司 其他,"['PLM高级产品经理', '高级人力产品经理', '客户经理']"
96.0,其他学科,湖北经济学院/2017,枝江市爱肯教育培训学校,教育,96.0 湖北经济学院/2017 其他学科 枝江市爱肯教育培训学校 教育,"['教师', 'PLM高级产品经理', '高级人力产品经理']"
108.0,其他学科,汉口油田大学,宜昌市铭禹工程管理有限公司,建筑业,108.0 汉口油田大学 其他学科 宜昌市铭禹工程管理有限公司 建筑业,"['PLM高级产品经理', '高级人力产品经理', '教师']"
112.0,其他学科,酒泉职业技术学院,宜昌东阳光制药有限公司,制造业,112.0 酒泉职业技术学院 其他学科 宜昌东阳光制药有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
122.0,经济学,湖北经济学院,点军区点军街道梅子溪社区居民委员会,其他未列明国家机构,122.0 湖北经济学院 经济学 点军区点军街道梅子溪社区居民委员会 其他未列明国家机构,"['一线服务专员', '客服专员', '法务专员']"
148.0,其他学科,2022/湖北商贸学院/电子商务,湖北鼎级玻璃科技有限公司,制造业,148.0 2022/湖北商贸学院/电子商务 其他学科 湖北鼎级玻璃科技有限公司 制造业,"['PLM高级产品经理', '产品经理', '高级人力产品经理']"
149.0,临床医学,湖北医药学院,远安县人民医院,卫生和社会工作,149.0 湖北医药学院 临床医学 远安县人民医院 卫生和社会工作,"['会计', '客服专员', '营养师']"
175.0,其他学科,武汉工商学院,宜昌市伍家岗区玛酷机器人经营部,制造业,175.0 武汉工商学院 其他学科 宜昌市伍家岗区玛酷机器人经营部 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
179.0,其他学科,武汉工商学院,宜昌维跃房地产营销策划有限公司,居民服务、修理和其他服务业,179.0 武汉工商学院 其他学科 宜昌维跃房地产营销策划有限公司 居民服务、修理和其他服务业,"['一线服务专员', '客服专员', '客户经理']"
181.0,医学检验技术,济宁医学院,夷陵区妇幼保健院,卫生和社会工作,181.0 济宁医学院 医学检验技术 夷陵区妇幼保健院 卫生和社会工作,"['营养师', '客服专员', '一线服务专员']"
184.0,中药学,武汉生物工程学院,枝江市公路养护应急中心,公共管理、社会保障和社会组织,184.0 武汉生物工程学院 中药学 枝江市公路养护应急中心 公共管理、社会保障和社会组织,"['营养师', '高级人力产品经理', 'PLM高级产品经理']"
188.0,经济学类其他专业,三峡大学,宜昌市国鼎商贸有限公司,批发和零售业,188.0 三峡大学 经济学类其他专业 宜昌市国鼎商贸有限公司 批发和零售业,"['PLM高级产品经理', '销售经理', '高级人力产品经理']"
196.0,其他学科,武汉轻工大学,秭归县茅坪镇人民政府,其他未列明国家机构,196.0 武汉轻工大学 其他学科 秭归县茅坪镇人民政府 其他未列明国家机构,"['教师', 'PLM高级产品经理', '高级人力产品经理']"
207.0,其他学科,湖北生态工程职业技术学院,宜都市创景风景园林有限公司,农、林、牧、渔业,207.0 湖北生态工程职业技术学院 其他学科 宜都市创景风景园林有限公司 农、林、牧、渔业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
231.0,其他学科,高校毕业生,宜昌起帆电缆有限公司,制造业,231.0 高校毕业生 其他学科 宜昌起帆电缆有限公司 制造业,"['高级人力产品经理', '电机结构工程师', '教师']"
249.0,其他学科,华中科技大学武昌分校/2015,宜昌市鑫集悦商贸有限公司,批发和零售业,249.0 华中科技大学武昌分校/2015 其他学科 宜昌市鑫集悦商贸有限公司 批发和零售业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
256.0,计算机科学与技术,湖北商贸学院/2019,中国邮政储蓄银行股份有限公司枝江市支行,金融业,256.0 湖北商贸学院/2019 计算机科学与技术 中国邮政储蓄银行股份有限公司枝江市支行 金融业,"['会计', 'PLM高级产品经理', '金融分析师']"
257.0,教育学,湖北科技大学,中国邮政集团有限公司湖北省远安县分公司,交通运输、仓储和邮政业,257.0 湖北科技大学 教育学 中国邮政集团有限公司湖北省远安县分公司 交通运输、仓储和邮政业,"['客服专员', '高级人力产品经理', '物流专员']"
259.0,其他学科,三峡大学,宜昌诚凯化工科技有限公司,制造业,259.0 三峡大学 其他学科 宜昌诚凯化工科技有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
274.0,工商管理,北京市委党校,宜昌辉盈人力资源有限责任公司,居民服务、修理和其他服务业,274.0 北京市委党校 工商管理 宜昌辉盈人力资源有限责任公司 居民服务、修理和其他服务业,"['一线服务专员', '客服专员', 'PLM高级产品经理']"
281.0,船舶工程,武汉理工大学,枝江江瑞船务有限责任公司,制造业,281.0 武汉理工大学 船舶工程 枝江江瑞船务有限责任公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
302.0,医学,襄阳职业技术学院,三峡医学检验实验室（湖北）有限公司,科学研究和技术服务业,302.0 襄阳职业技术学院 医学 三峡医学检验实验室（湖北）有限公司 科学研究和技术服务业,"['PLM高级产品经理', '高级人力产品经理', '客服专员']"
